n,k,pzl,bt_valid,bt_time_ns,bt_recs,bt_space_B,cp_valid,cp_time_ns,cp_recs,cp_space_B
2,6,0 2 0 4 4 0 0 0 2 1 4 3 3 0 2 1,True,0,6,1088,True,0,0,2304
2,6,0 2 3 4 3 0 2 0 0 0 4 3 4 3 0 2,True,0,6,1088,True,0,0,2304
2,6,2 0 0 0 3 4 1 2 4 0 2 1 0 0 4 3,True,0,6,1088,True,0,0,2304
2,6,1 2 0 0 4 0 2 0 3 4 0 0 2 1 4 3,True,0,6,1088,True,0,0,2304
2,6,4 0 2 3 3 2 0 4 1 0 0 2 0 3 4 0,True,0,6,1088,True,0,0,2304
2,6,2 1 3 0 4 0 1 2 3 0 2 1 1 0 0 0,True,0,6,1088,True,0,0,2304
2,6,0 2 0 3 1 0 4 2 0 1 2 4 0 4 3 0,True,0,6,1088,True,0,0,2304
2,6,3 0 0 1 0 0 0 3 4 3 1 0 2 1 3 4,True,0,6,1088,True,0,1,4600
2,6,4 0 2 1 1 2 0 4 3 0 0 2 0 1 0 3,True,0,6,1088,True,0,0,2304
2,6,1 0 3 0 3 2 1 4 2 3 0 0 4 0 0 3,True,0,6,1088,True,0,0,2304
2,6,3 2 1 4 4 0 2 3 0 3 4 0 0 0 3 0,True,0,6,1088,True,0,1,4472
2,6,2 1 0 0 0 0 1 0 4 3 2 1 1 2 0 3,True,0,6,1088,True,0,0,2664
2,6,3 0 1 0 4 1 3 2 1 0 2 0 2 0 0 1,True,0,7,1088,True,0,0,2304
2,6,3 2 0 1 0 0 3 2 4 0 0 3 0 3 1 4,True,0,6,1088,True,0,0,2304
2,6,0 1 2 3 0 0 4 1 3 0 0 2 1 2 3 0,True,0,6,1088,True,0,0,2304
2,6,2 4 0 3 3 1 0 2 1 2 0 4 0 3 0 0,True,0,6,1088,True,0,0,2304
2,6,2 1 0 0 0 3 2 1 0 2 3 0 3 0 1 2,True,0,6,1088,True,0,0,2304
2,6,0 3 2 4 0 0 3 1 2 0 4 3 0 4 1 0,True,0,6,1088,True,0,0,2304
2,6,0 1 2 0 4 2 1 3 0 3 4 2 0 4 0 0,True,0,6,1088,True,0,0,2304
2,6,0 2 0 4 0 1 2 0 2 4 3 1 0 0 4 2,True,0,6,1088,True,0,0,2304
2,6,3 1 2 4 4 2 0 3 1 0 4 0 0 0 3 0,True,0,6,1088,True,0,0,2304
2,6,0 3 2 1 0 0 3 4 2 4 1 3 0 0 0 2,True,0,6,1088,True,0,0,2304
2,6,0 2 0 1 0 3 2 4 3 0 4 2 2 0 0 3,True,0,6,1088,True,0,0,2304
2,7,1 0 0 3 3 2 4 0 2 0 0 4 4 0 0 2,True,0,7,1184,True,0,1,4416
2,7,3 1 0 4 0 2 3 0 1 3 0 0 0 4 0 3,True,0,7,1184,True,0,0,2520
2,7,0 1 3 0 0 0 1 2 1 2 0 3 0 4 2 0,True,0,8,1184,True,0,0,2880
2,7,0 1 3 2 0 0 4 1 0 4 2 0 0 0 1 4,True,0,7,1184,True,0,1,4472
2,7,0 1 2 0 0 2 4 0 2 0 1 4 1 0 0 2,True,0,8,1184,True,0,0,2880
2,7,4 0 0 1 0 2 0 0 3 1 4 2 2 0 0 3,True,0,7,1184,True,0,0,2520
2,7,2 1 0 3 0 3 2 0 0 0 0 4 1 4 3 0,True,0,7,1184,True,0,0,2520
2,7,0 0 2 0 0 0 1 4 2 3 4 1 0 4 3 0,True,0,10,1184,True,0,0,2880
2,7,0 2 1 4 0 4 3 2 2 0 0 0 4 3 0 0,True,0,7,1184,True,0,0,2520
2,7,2 0 0 0 4 0 0 2 0 0 2 3 3 2 1 4,True,0,10,1184,True,0,0,2880
2,7,0 0 0 3 1 3 0 0 0 2 3 0 3 1 2 4,True,0,7,1184,True,0,0,2880
2,7,0 4 0 1 0 1 2 4 0 2 1 0 0 0 4 2,True,0,7,1184,True,0,0,2880
2,7,3 2 0 4 0 4 0 0 0 0 4 3 4 3 2 0,True,0,7,1184,True,0,0,2520
2,7,4 0 0 0 2 1 0 3 1 2 0 0 3 0 2 1,True,0,7,1184,True,0,0,2520
2,7,1 4 2 0 3 2 0 1 2 1 0 4 0 0 0 0,True,0,7,1184,True,0,0,2520
